basket_item_id,canonical_name,item_type,product_title,product_url
1,chicken breast,poultry,"Member's Mark Boneless and Skinless Chicken Breast, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Boneless-and-Skinless-Chicken-Breast-priced-per-pound/18999111186
2,"chicken breast, organic",poultry,"Member's Mark Organic Boneless and Skinless Chicken Breasts, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Organic-Boneless-and-Skinless-Chicken-Breasts-priced-per-pound/13632405327
3,chicken breast tenderloins,poultry,"Member's Mark Chicken Tenders, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Chicken-Tenders-priced-per-pound/19431268719
4,"chicken breast tenderloins, organic",poultry,"Member's Mark Organic Chicken Tenders, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Organic-Chicken-Tenders-priced-per-pound/13608463703
5,chicken thighs,poultry,"Member's Mark Boneless and Skinless Chicken Thighs, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Boneless-and-Skinless-Chicken-Thighs-priced-per-pound/19427824010
6,"chicken thighs, organic",poultry,"Member's Mark Organic Boneless Skinless Chicken Thighs, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Organic-Boneless-Skinless-Chicken-Thighs-priced-per-pound/13895606526
7,"ground beef, 93/7",beef,"Member's Mark 93/7 Ground Beef, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-93-7-Ground-Beef-priced-per-pound/13865573229
8,"ground beef, 90/10",beef,"Member's Mark 90/10 Ground Beef Roll, Vacuum Pack, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-90-10-Ground-Beef-Roll-Vacuum-Pack-priced-per-pound/21209400000
9,"ground beef, 80/20",beef,"Member's Mark 80/20 Ground Beef Roll, Vacuum Pack, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-80-20-Ground-Beef-Roll-Vacuum-Pack-priced-per-pound/21213000000
10,"steak, ribeye",beef,"Member's Mark USDA Choice Angus Beef Ribeye Steak, Thin Sliced, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-USDA-Choice-Angus-Beef-Ribeye-Steak-Thin-Sliced-priced-per-pound/13738870253
13,"beef short ribs, bone in",beef,"Member's Mark USDA Choice Angus Whole Beef Short Ribs, Bone-in, Cryovac, priced per pound, 2 per bag",https://www.samsclub.com/ip/Member-s-Mark-USDA-Choice-Angus-Whole-Beef-Short-Ribs-Bone-in-Cryovac-priced-per-pound-2-per-bag/13729961472
17,"bacon, hickory smoked",pork,"Member's Mark Restaurant Style Bacon, Hickory Smoked, 10lbs.",https://www.samsclub.com/ip/Member-s-Mark-Restaurant-Style-Bacon-Hickory-Smoked-10lbs/19335956735
20,"brisket, beef, angus",beef,"Member's Mark USDA Prime Angus Beef Boneless Whole Brisket, Vacuum Pack, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-USDA-Prime-Angus-Beef-Boneless-Whole-Brisket-Vacuum-Pack-priced-per-pound/13596802831
21,tilapia fillets,fish/seafood,"Member's Mark Farm Raised Tilapia Fillet, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Farm-Raised-Tilapia-Fillet-priced-per-pound/13882952248
22,tuna in water,fish/seafood,"Member's Mark Premium Solid White Albacore Tuna 5 oz., 8 pk.",https://www.samsclub.com/ip/Member-s-Mark-Premium-Solid-White-Albacore-Tuna-5-oz-8-pk/13888864101
23,"tuna in water, starkist",fish/seafood,"StarKist Chunk Light Tuna in Water, 2.6 oz., 10 pk.",https://www.samsclub.com/ip/StarKist-Chunk-Light-Tuna-in-Water-2-6-oz-10-pk/8000051716
25,ham,lunch meat,"Member's Mark Uncured Boneless Quarter Sliced Ham, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Uncured-Boneless-Quarter-Sliced-Ham-priced-per-pound/13627465985
29,chicken wings,poultry,"Member's Mark Organic Chicken Wings, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Organic-Chicken-Wings-priced-per-pound/13850722165
30,chicken drumsticks,poultry,"Member's Mark Chicken Drumsticks, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Chicken-Drumsticks-priced-per-pound/19399262155
32,hot dogs,pork,"Member's Mark Beef Franks, 4 oz., 12 ct.",https://www.samsclub.com/ip/Member-s-Mark-Beef-Franks-4-oz-12-ct/13954014397
34,"breakfast sausage links, jimmy dean",pork,"Jimmy Dean Fully Cooked Original Pork Sausage Links, 48 ct.",https://www.samsclub.com/ip/Jimmy-Dean-Fully-Cooked-Original-Pork-Sausage-Links-48-ct/16629469598
36,"pork sausage, bratwurst, links, johnsonville",pork,"Johnsonville Brats Original Pork Bratwurst Links, 18 ct.",https://www.samsclub.com/ip/Johnsonville-Brats-Original-Pork-Bratwurst-Links-18-ct/13610718508
39,"pork back ribs, bone in",pork,"Member’s Mark Whole Bone In Pork Loin Back Ribs, Vacuum Pack, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Whole-Bone-In-Pork-Loin-Back-Ribs-Vacuum-Pack-priced-per-pound/13827962785
40,"eggs, large, white, 12 count",eggs,"Member’s Mark Cage Free Grade AA Large White Eggs, 2 dozen",https://www.samsclub.com/ip/Member-s-Mark-Cage-Free-Grade-AA-Large-White-Eggs-2-dozen/13627565539
41,"eggs, large, brown, pasture raised,12 count, vital farms",eggs,"Member's Mark Pasture Raised Grade A Large Brown Eggs, 1.5 dozen",https://www.samsclub.com/ip/Member-s-Mark-Pasture-Raised-Grade-A-Large-Brown-Eggs-1-5-dozen/14196302933
42,"eggs, large, white, cage free, 12 count",eggs,"Member's Mark Cage Free Grade A White Eggs, 5 Dozen",https://www.samsclub.com/ip/Member-s-Mark-Cage-Free-Grade-A-White-Eggs-5-Dozen/18724104933
43,liquid egg whites,eggs,"Member's Mark Liquid Egg Whites 16 oz., 6 pk.",https://www.samsclub.com/ip/members-mark-liquid-egg-whites-6pk/14973851671
45,"yogurt, greek, plain, nonfat",yogurt,"Member's Mark Plain Nonfat Greek Yogurt, 40 oz.",https://www.samsclub.com/ip/Member-s-Mark-Plain-Nonfat-Greek-Yogurt-40-oz/13883502448
52,"yogurt, low fat, strawberry, cups, yoplait original",yogurt,"Yoplait Original Lowfat Yogurt Variety Pack, 6 oz., 18 ct.",https://www.samsclub.com/ip/Yoplait-Original-Lowfat-Yogurt-Variety-Pack-6-oz-18-ct/13747507264
54,"yogurt, high protein, greek, strawberry, cups, oikos",yogurt,"Oikos Triple Zero Nonfat Blended Greek Yogurt Variety Pack, 5.3 oz., 18 ct.",https://www.samsclub.com/ip/Oikos-Triple-Zero-Nonfat-Blended-Greek-Yogurt-Variety-Pack-5-3-oz-18-ct/13877208873
63,"nonfat greek yogurt, vanilla, cups, chobani",yogurt,"Chobani Nonfat Greek Yogurt Fruit On The Bottom Variety Pack, 5.3 oz., 16 ct.",https://www.samsclub.com/ip/Chobani-Nonfat-Greek-Yogurt-Fruit-On-The-Bottom-Variety-Pack-5-3-oz-16-ct/13871500814
79,"milk, whole",milk,"Member’s Mark Vitamin D Whole Milk, 1 gal.",https://www.samsclub.com/ip/Member-s-Mark-Vitamin-D-Whole-Milk-1-gal/16518858557
80,"milk, 2%",milk,Member’s Mark 2% Reduced Fat Milk 1 gal.,https://www.samsclub.com/ip/Member-s-Mark-2-Reduced-Fat-Milk-1-gal/16545310855
85,"milk, 2%, organic, horizon, dha",milk,Horizon Organic 2% Reduced Fat Milk with DHA Omega-3 3 ct.,https://www.samsclub.com/ip/Horizon-Organic-2-Reduced-Fat-Milk-with-DHA-Omega-3-3-ct/13624255116
96,"almond milk, unsweetened, silk",plant-based milk,"Silk Unsweetened Original Almond, 64 fl. oz., 3 pk.",https://www.samsclub.com/ip/Silk-Unsweetened-Original-Almond-64-fl-oz-3-pk/13901607733
105,"cottage cheese, 4%, daisy pure",cheese,Daisy 4% Milkfat Small Curd Cottage Cheese 3 lbs.,https://www.samsclub.com/ip/Daisy-4-Milkfat-Small-Curd-Cottage-Cheese-3-lbs/13601718387
107,"butter, unsalted",butter,"Member's Mark Unsalted Sweet Cream Butter Sticks, 4 oz., 16 ct.",https://www.samsclub.com/ip/Member-s-Mark-Unsalted-Sweet-Cream-Butter-Sticks-4-oz-16-ct/13909060446
108,"butter, unsalted, kerrygold",butter,"Kerrygold Unsalted Pure Irish Butter Blocks, 8 oz., 3 pk.",https://www.samsclub.com/ip/Kerrygold-Unsalted-Pure-Irish-Butter-Blocks-8-oz-3-pk/13870771643
115,"cheese, mild cheddar, shredded",cheese,Member's Mark Mild Cheddar Shredded Cheese 5 lbs.,https://www.samsclub.com/ip/Member-s-Mark-Mild-Cheddar-Shredded-Cheese-5-lbs/13612615277
120,"cheese, mozzarella, low moisture, part skim, shredded",cheese,Member's Mark Part-Skim Shredded Mozzarella Cheese 5 lbs.,https://www.samsclub.com/ip/Member-s-Mark-Part-Skim-Shredded-Mozzarella-Cheese-5-lbs/13857173387
122,"cheese, medium cheddar, block, tillamook",cheese,Tillamook Medium Cheddar Cheese 2.5 lbs.,https://www.samsclub.com/ip/Tillamook-Medium-Cheddar-Cheese-2-5-lbs/13571669511
125,"cheese, mozzarella, block",cheese,Member's Mark Part-Skim Mozzarella Cheese 5 lbs.,https://www.samsclub.com/ip/Member-s-Mark-Part-Skim-Mozzarella-Cheese-5-lbs/13844016358
126,"cream cheese, philadelphia",cheese,"Philadelphia Original Cream Cheese Blocks, 8 oz., 4 pk.",https://www.samsclub.com/ip/Philadelphia-Original-Cream-Cheese-Blocks-8-oz-4-pk/13589509183
127,cream cheese,cheese,"Member's Mark Cream Cheese Brick, 48 oz.",https://www.samsclub.com/ip/Member-s-Mark-Cream-Cheese-Brick-48-oz/13865569340
154,"protein bar, clif builders",protein supplement,"CLIF BUILDERS Gluten Free Protein Bars, Variety Pack, 18 pk.",https://www.samsclub.com/ip/CLIF-BUILDERS-Gluten-Free-Protein-Bars-Variety-Pack-18-pk/72225216805
155,"vegan protein bar, trubar",vegan protein supplement,"TRUBAR Plant Based Protein Bar Variety Pack, 14 ct.",https://www.samsclub.com/ip/TRUBAR-Plant-Based-Protein-Bar-Variety-Pack-14-ct/16429211294
157,"protein powder, chocolate, optimum nutrition",protein supplement,"Optimum Nutrition, Gold Standard 100% Whey Protein Powder, Extreme Milk Chocolate, 5.64 lbs.",https://www.samsclub.com/ip/Optimum-Nutrition-Gold-Standard-100-Whey-Protein-Powder-Extreme-Milk-Chocolate-5-64-lbs/16110050561
160,"vegan protein, chocolate, organic, orgain",vegan protein supplement,"Orgain Organic 21g Plant-Based Protein Powder, Creamy Chocolate Fudge 2.74 lbs.",https://www.samsclub.com/ip/Orgain-Organic-21g-Plant-Based-Protein-Powder-Creamy-Chocolate-Fudge-2-74-lbs/85177000852
161,spinach,vegetable,"Spinach, 2.5 lbs.",https://www.samsclub.com/ip/Spinach-2-5-lbs/15563918915
163,"baby spinach, organic",vegetable,"Organic Baby Spinach, 16 oz.",https://www.samsclub.com/ip/Organic-Baby-Spinach-16-oz/13803520057
167,broccoli florets,vegetable,Broccoli Florets 2 lbs.,https://www.samsclub.com/ip/Broccoli-Florets-2-lbs/15392852361
168,"broccoli florets, frozen",vegetable,"Member's Mark Steamable Broccoli Florets 1 lb., 4 pk.",https://www.samsclub.com/ip/Member-s-Mark-Steamable-Broccoli-Florets-1-lb-4-pk/13585719539
172,sweet potatoes,vegetable,"Sweet Potatoes, 5 lbs.",https://www.samsclub.com/ip/Sweet-Potatoes-5-lbs/16864967254
174,red potatoes,vegetable,"Red Potatoes, 10 lbs.",https://www.samsclub.com/ip/Red-Potatoes-10-lbs/13744207904
178,carrots,vegetable,"Organic Tender Sweet Carrots, 5 lbs.",https://www.samsclub.com/ip/Organic-Tender-Sweet-Carrots-5-lbs/13585974324
179,baby carrots,vegetable,"Organic Sweet Petite Baby Carrots, 3 lbs.",https://www.samsclub.com/ip/Organic-Sweet-Petite-Baby-Carrots-3-lbs/15649913631
180,"pepper bell, red",vegetable,"Multi Bell Sweet Peppers, 6 ct.",https://www.samsclub.com/ip/Multi-Bell-Sweet-Peppers-6-ct/13617010302
181,"pepper bell, green",vegetable,"Green Bell Peppers, 6 ct.",https://www.samsclub.com/ip/Green-Bell-Peppers-6-ct/13888070896
183,grape tomatoes,vegetable,"Grape Tomatoes, 2 lbs.",https://www.samsclub.com/ip/Grape-Tomatoes-2-lbs/15677963466
184,romaine lettuce,vegetable,"Romaine Hearts, 6 ct.",https://www.samsclub.com/ip/Romaine-Hearts-6-ct/13554766983
185,"cucumbers, mini",vegetable,"Mini Cucumbers, 2 lbs.",https://www.samsclub.com/ip/Mini-Cucumbers-2-lbs/13621857059
187,bananas,fruit,"Bananas, 3 lbs.",https://www.samsclub.com/ip/Bananas-3-lbs/18638953319
188,"bananas, organic",fruit,"Organic Bananas, 3 lbs.",https://www.samsclub.com/ip/Organic-Bananas-3-lbs/13791069811
190,"apple, honeycrisp",fruit,"Honeycrisp Apples, 4 lbs.",https://www.samsclub.com/ip/Honeycrisp-Apples-4-lbs/13806958169
192,blueberries,fruit,"Blueberries, 18 oz.",https://www.samsclub.com/ip/Blueberries-18-oz/13790673257
193,"blueberries, organic",fruit,"Organic Blueberries, 18 oz.",https://www.samsclub.com/ip/Organic-Blueberries-18-oz/15007874527
195,"blueberries, frozen, organic",fruit,"Members Mark Organic Cultivated Blueberries, Frozen, 3 lbs.",https://www.samsclub.com/ip/Members-Mark-Organic-Cultivated-Blueberries-Frozen-3-lbs/15645359347
196,strawberries,fruit,"Strawberries, 2 lbs.",https://www.samsclub.com/ip/Strawberries-2-lbs/13612870276
197,"strawberries, organic",fruit,"Organic Strawberries, 2 lbs.",https://www.samsclub.com/ip/Organic-Strawberries-2-lbs/13620310713
199,raspberries,fruit,Raspberries 12 oz.,https://www.samsclub.com/ip/Raspberries-12-oz/13608506007
200,"raspberries, organic",fruit,"Organic Raspberries, 12 oz.",https://www.samsclub.com/ip/Organic-Raspberries-12-oz/15389862546
202,blackberries,fruit,Blackberries 18 oz.,https://www.samsclub.com/ip/Blackberries-18-oz/13627415928
203,"blackberries, organic",fruit,"Organic Blackberries, 12 oz.",https://www.samsclub.com/ip/Organic-Blackberries-12-oz/13585824883
204,cherries,fruit,"Sweet Red Cherries, 2 lbs.",https://www.samsclub.com/ip/Sweet-Red-Cherries-2-lbs/13879311045
208,"avocado, hass",vegetable,"Avocados, 5 ct.",https://www.samsclub.com/ip/Avocados-5-ct/13586650560
209,"mushrooms, white",vegetable,Whole White Mushrooms 24 oz.,https://www.samsclub.com/ip/Whole-White-Mushrooms-24-oz/13894703507
212,"watermelon, seedless",fruit,Whole Seedless Watermelon,https://www.samsclub.com/ip/Whole-Seedless-Watermelon/13589400933
214,pineapple,fruit,Pineapple,https://www.samsclub.com/ip/Pineapple/13613070091
215,"pineapple, precut",fruit,Del Monte Fresh Cut Pineapple Spears 2.5 lbs.,https://www.samsclub.com/ip/Del-Monte-Fresh-Cut-Pineapple-Spears-2-5-lbs/15209750041
217,green beans,vegetable,"4Earth Farms Organic Green Beans, 2 lbs.",https://www.samsclub.com/ip/4Earth-Farms-Organic-Green-Beans-2-lbs/13870274404
218,"green beans, cut, canned",vegetable,"Del Monte Cut Green Beans, 14.5 oz., 8 pk",https://www.samsclub.com/ip/Del-Monte-Cut-Green-Beans-14-5-oz-8-pk/13621807018
222,asparagus,vegetable,"Asparagus, 2 lbs.",https://www.samsclub.com/ip/Asparagus-2-lbs/13885761821
236,"oats, rolled, organic, bobs red mill",grains,"Bob's Red Mill Organic Old Fashioned Rolled Oats, 56 oz.",https://www.samsclub.com/ip/Bob-s-Red-Mill-Organic-Old-Fashioned-Rolled-Oats-56-oz/13613554444
239,"rice, long grain, white",grains,"Member's Mark Thai Jasmine Rice, 25 lb.",https://www.samsclub.com/ip/Member-s-Mark-Thai-Jasmine-Rice-25-lb/15385403896
242,spaghetti,grains,"Member's Mark Spaghetti Pasta Pantry Pack, 1 lb., 6 pk.",https://www.samsclub.com/ip/Member-s-Mark-Spaghetti-Pasta-Pantry-Pack-1-lb-6-pk/17863853694
243,"bread, whole wheat, sliced",bread/bakery,"Bimbo Soft White Bread Family Pack 20 oz., 2 pk.",https://www.samsclub.com/ip/Bimbo-Soft-White-Bread-Family-Pack-20-oz-2-pk/13863450224
244,"bread, sourdough, bakery, sliced",bread/bakery,"Member's Mark Sliced Sourdough Bread, 23 oz.",https://www.samsclub.com/ip/Member-s-Mark-Sliced-Sourdough-Bread-23-oz/19889423455
245,"bread, whole wheat, sliced",bread/bakery,"Nature's Own 100% Whole Wheat Bread 20 oz., 2 pk.",https://www.samsclub.com/ip/Nature-s-Own-100-Whole-Wheat-Bread-20-oz-2-pk/13621757683
246,bagels,bread/bakery,"Thomas' Plain Bagels, 12 pk.",https://www.samsclub.com/ip/Thomas-Plain-Bagels-12-pk/19599173494
248,"bagels, bakery",bread/bakery,"Member's Mark Plain Sliced Bagels, 6 ct.",https://www.samsclub.com/ip/Member-s-Mark-Plain-Sliced-Bagels-6-ct/13580074626
249,"buns, hot dog",pork,Mrs. Baird's Hot Dog Buns 16 ct.,https://www.samsclub.com/ip/Mrs-Baird-s-Hot-Dog-Buns-16-ct/13863850591
250,"buns, hot dog, brioche",pork,"Member's Mark Sliced Brioche Slider Buns, 24 ct.",https://www.samsclub.com/ip/Member-s-Mark-Sliced-Brioche-Slider-Buns-24-ct/13739112890
251,"rolls, sweet hawaiian",bread/bakery,King's Hawaiian Original Dinner Rolls 32 ct.,https://www.samsclub.com/ip/King-s-Hawaiian-Original-Dinner-Rolls-32-ct/14176673620
254,"cereal, frosted flakes",cereal/granola,"Frosted Flakes Cereal, 55 oz.",https://www.samsclub.com/ip/Frosted-Flakes-Cereal-55-oz/15470619771
257,"cereal, honey nut o, cheerios",cereal/granola,"Honey Nut Cheerios Cereal, 48 oz.",https://www.samsclub.com/ip/Honey-Nut-Cheerios-Cereal-48-oz/1600048665
258,"granola, chocolate",cereal/granola,"Nature's Path Love Crunch Organic Dark Chocolate & Red Berries Granola, 32 oz.",https://www.samsclub.com/ip/Nature-s-Path-Love-Crunch-Organic-Dark-Chocolate-Red-Berries-Granola-32-oz/13887254713
259,"granola, chocolate, purely elizabeth",cereal/granola,"Purely Elizabeth Vanilla Chocolate Chip Ancient Grain Granola, 24 oz.",https://www.samsclub.com/ip/Purely-Elizabeth-Vanilla-Chocolate-Chip-Ancient-Grain-Granola-24-oz/17577851521
265,"mac and cheese, kraft",other,Kraft Easy Mac Original Flavor Single-Serve Pouches 18 pk.,https://www.samsclub.com/ip/Kraft-Easy-Mac-Original-Flavor-Single-Serve-Pouches-18-pk/2100067149
273,pinto beans,legumes/beans,Member's Mark Pinto Beans 12 lbs.,https://www.samsclub.com/ip/Member-s-Mark-Pinto-Beans-12-lbs/13896812396
279,"pinto beans, canned",legumes/beans,"Bush's Pinto Beans 16 oz., 6 pk.",https://www.samsclub.com/ip/Bush-s-Pinto-Beans-16-oz-6-pk/3940010809
290,"cookies, chocolate chips",snacks,"Member's Mark Chocolate Chunk Cookies, 18 ct.",https://www.samsclub.com/ip/Member-s-Mark-Chocolate-Chunk-Cookies-18-ct/13589459069
298,"candy bar mix, mini, mars",sweets/candy,"Mars Milk Chocolate Variety Pack Candy, 145 pcs.",https://www.samsclub.com/ip/Mars-Milk-Chocolate-Variety-Pack-Candy-145-pcs/13765656540
300,"sour patch kids and swedish fish mini soft & chewy candy variety, bulk candy, 80 snack packs",fish/seafood,"SOUR PATCH KIDS and SWEDISH FISH Candy, Fun Size, 200 pk.",https://www.samsclub.com/ip/SOUR-PATCH-KIDS-and-SWEDISH-FISH-Candy-Fun-Size-200-pk/13900857865
301,"peanut butter, creamy",nut spread ,"Member's Mark Natural Creamy Peanut Butter, 40 oz., 2 pk.",https://www.samsclub.com/ip/Member-s-Mark-Natural-Creamy-Peanut-Butter-40-oz-2-pk/7874219579
303,"almond butter, no sugar",nut spread ,"Member's Mark Almond Butter, 24 oz.",https://www.samsclub.com/ip/Member-s-Mark-Almond-Butter-24-oz/7874214200
305,"dr pepper zero, cans",soda,"Dr Pepper Zero Sugar Soda, 12 fl. oz., 35 pk.",https://www.samsclub.com/ip/Dr-Pepper-Zero-Sugar-Soda-12-fl-oz-35-pk/13607913674
312,"walnuts, shelled",nuts,"Member's Mark Natural Shelled Walnuts, 48 oz.",https://www.samsclub.com/ip/Member-s-Mark-Natural-Shelled-Walnuts-48-oz/13758664374
313,almonds,nuts,"Member's Mark Whole Natural Almonds, 48 oz.",https://www.samsclub.com/ip/Member-s-Mark-Whole-Natural-Almonds-48-oz/18264466135
314,"pecan, shelled",nuts,"Member's Mark Natural Pecan Halves, 32 oz.",https://www.samsclub.com/ip/Member-s-Mark-Natural-Pecan-Halves-32-oz/7874220233
315,"turmeric, ground",spices,"Member's Mark Ground Turmeric, 20 oz.",https://www.samsclub.com/ip/Member-s-Mark-Ground-Turmeric-20-oz/13590169266
316,"turmeric, ground, organic",spices,"Member's Mark Organic Ground Turmeric, 9.5 oz.",https://www.samsclub.com/ip/Member-s-Mark-Organic-Ground-Turmeric-9-5-oz/13636265931
317,"cinnamon, ground",spices,"Member's Mark Ground Cinnamon, 18 oz.",https://www.samsclub.com/ip/Member-s-Mark-Ground-Cinnamon-18-oz/13610768224
318,"cinnamon, ground, organic",spices,"Member's Mark Organic Cinnamon, 7 oz.",https://www.samsclub.com/ip/Member-s-Mark-Organic-Cinnamon-7-oz/13632105050
323,honey,sweeteners,"Member’s Mark Wildflower Pure Premium Honey, 48 oz.",https://www.samsclub.com/ip/Member-s-Mark-Wildflower-Pure-Premium-Honey-48-oz/15006863838
332,"sour cream, daisy",dairy,"Daisy Brand Pure and Natural Sour Cream, 48 oz.",https://www.samsclub.com/ip/Daisy-Brand-Pure-and-Natural-Sour-Cream-48-oz/13581873793
340,"oil, olive, extra virgin",oils,"Member's Mark Extra Virgin Olive Oil, 101 fl. oz.",https://www.samsclub.com/ip/Member-s-Mark-Extra-Virgin-Olive-Oil-101-fl-oz/7874200285
346,zucchini,vegetable,"Organic Zucchini Squash, 3.5 lbs.",https://www.samsclub.com/ip/Organic-Zucchini-Squash-3-5-lbs/13660155711
348,"orange, navel",fruit,"California Navel Oranges, 8 lbs.",https://www.samsclub.com/ip/California-Navel-Oranges-8-lbs/13608106019
350,tangerine,fruit,"Clementine Mandarins, 5 lbs.",https://www.samsclub.com/ip/Clementine-Mandarins-5-lbs/13561616172
351,grapes,fruit,"Green Seedless Grapes, 3 lbs.",https://www.samsclub.com/ip/Green-Seedless-Grapes-3-lbs/13773419692
352,"dates, medjool, natural delights",dried fruit,"Natural Delights Organic Whole Medjool Dates, 2 lbs.",https://www.samsclub.com/ip/Natural-Delights-Organic-Whole-Medjool-Dates-2-lbs/13622255422
356,cashews,nuts,"Member's Mark Unsalted Whole Cashews, 33 oz.",https://www.samsclub.com/ip/Member-s-Mark-Unsalted-Whole-Cashews-33-oz/7874244450
362,salmon,fish/seafood,"Member's Mark Farm Raised Skin-On Atlantic Salmon Fillet, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Farm-Raised-Skin-On-Atlantic-Salmon-Fillet-priced-per-pound/13908410359
363,"shrimp, small, frozen",fish/seafood,"Member's Mark Farm Raised Large Raw Shrimp, Frozen, 31-40 ct. per pound, 3 lbs.",https://www.samsclub.com/ip/Member-s-Mark-Farm-Raised-Large-Raw-Shrimp-Frozen-31-40-ct-per-pound-3-lbs/13939167608
364,cod,fish/seafood,"Member's Mark Wild Caught Cod Fillet, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Wild-Caught-Cod-Fillet-priced-per-pound/13904360383
366,trout,fish/seafood,"Member's Mark Steelhead Trout Fillet, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Steelhead-Trout-Fillet-priced-per-pound/13627465199
367,"feta cheese, block",cheese,"President Feta Chunk Cheese, 32 oz.",https://www.samsclub.com/ip/President-Feta-Chunk-Cheese-32-oz/13575722114
370,flounder,fish/seafood,"Member's Mark Wild Caught Pacific Flounder Fillet Portions, Frozen, 3 lbs.",https://www.samsclub.com/ip/Member-s-Mark-Wild-Caught-Pacific-Flounder-Fillet-Portions-Frozen-3-lbs/13599611487
371,"cheese, brie",cheese,President Brie Soft-Ripened Cheese (19.6 oz.),https://www.samsclub.com/ip/President-Brie-Soft-Ripened-Cheese-19-6-oz/13585824884